Startup_name,Category,Funding_total_usd,Status,State_code,City,Funding_rounds,Founded_at,Founded_month,Founded_quarter,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Age_first_funding_year,Age_last_funding_year
Continuum Analytics,analytics," 52,50,000 ",1,TX,Austin,2,2011/1/1,1,2011-Q1,1,0,0,0,0,0,1,2
ContractRoom,web," 8,50,000 ",1,NY,New York,1,2012/2/29,2,2012-Q1,0,1,0,0,0,0,1,1
ContraFect,biotechnology," 2,87,93,158 ",1,NY,New York,3,2008/1/1,1,2008-Q1,1,0,0,0,0,0,2,5
ContraVir Pharmaceuticals,biotechnology," 1,69,67,648 ",1,NY,New York,3,2013/1/1,1,2013-Q1,1,0,1,0,0,0,1,1
Convene,hardware&software," 1,00,00,000 ",1,NY,New York,1,2009/11/1,11,2009-Q4,0,0,0,0,0,0,4,4
Convio,hardware&software," 1,01,50,000 ",1,TX,Austin,1,1999/1/1,1,1999-Q1,1,0,0,0,0,0,8,8
Conviva,analytics," 6,90,00,000 ",1,CA,San Mateo,5,2006/1/1,1,2006-Q1,1,0,1,1,1,1,1,8
Convo,hardware&software," 50,00,000 ",1,CA,San Francisco,1,2011/1/1,1,2011-Q1,1,0,1,0,0,0,2,2
Convoke Systems,hardware&software," 55,00,000 ",1,CA,San Francisco,1,2006/1/1,1,2006-Q1,1,0,0,1,0,0,4,4
Convozine,web,"50,000",1,CA,San Francisco,1,2011/1/1,1,2011-Q1,0,0,0,0,0,0,0,0
Coopkanics,hardware&software," 1,00,00,003 ",1,NY,New York,2,2013/1/1,1,2013-Q1,1,0,1,0,0,0,0,1
Copious,web," 70,00,000 ",1,CA,San Francisco,2,2011/1/1,1,2011-Q1,1,0,1,0,0,0,0,1
CopperEgg Corporation,hardware&software," 41,00,000 ",1,TX,Austin,2,2010/6/1,6,2010-Q2,1,0,1,0,0,0,1,2
Coppertino,hardware&software," 9,00,000 ",1,CA,Los Angeles,2,2011/6/10,6,2011-Q2,0,1,0,0,0,0,2,3
CoPromote,social_media," 25,50,000 ",1,NY,New York,3,2009/8/1,8,2009-Q3,0,1,0,0,0,0,0,5
Corefino,hardware&software," 1,36,00,000 ",1,CA,Sunnyvale,1,2004/1/1,1,2004-Q1,1,0,1,0,0,0,4,4
Coremetrics,analytics," 9,10,00,000 ",1,CA,San Mateo,2,1999/1/1,1,1999-Q1,1,0,0,0,0,1,7,9
Corengi,security," 3,22,500 ",1,WA,Seattle,3,2010/6/1,6,2010-Q2,0,1,0,0,0,0,1,2
Corensic,hardware&software," 60,00,000 ",0,WA,Seattle,2,2008/1/1,1,2008-Q1,1,0,1,0,0,0,1,3
CoreObjects Software,hardware&software," 20,00,000 ",1,CA,Los Angeles,1,1997/1/1,1,1997-Q1,1,0,0,0,0,0,12,12
CoreTrace,security," 2,04,04,494 ",1,TX,Austin,5,2007/1/1,1,2007-Q1,1,0,1,1,0,0,0,5
Corona Labs,mobile," 30,00,000 ",1,CA,Palo Alto,3,2008/1/1,1,2008-Q1,1,0,1,0,0,0,1,4
Corso,hardware&software," 5,30,338 ",1,NY,New York,1,2009/1/1,1,2009-Q1,0,0,0,0,0,0,4,4
Cortina Systems,hardware&software," 16,20,00,000 ",1,CA,Sunnyvale,2,2001/1/1,1,2001-Q1,1,0,0,0,1,1,4,5
Corvil,hardware&software," 3,14,80,000 ",1,NY,New York,2,2000/1/1,1,2000-Q1,1,0,0,0,1,0,5,8
Cosential,hardware&software," 2,50,000 ",1,TX,Austin,1,1997/1/1,1,1997-Q1,1,0,0,1,0,0,5,5
Cotendo,hardware&software," 3,60,00,000 ",1,CA,Sunnyvale,4,2008/1/1,1,2008-Q1,1,0,0,1,1,1,0,3
Cotera,health&medical," 65,41,000 ",1,CA,Menlo Park,2,2011/1/1,1,2011-Q1,1,0,0,0,0,0,1,3
"Coterie, Inc.",social_media," 15,00,000 ",1,CA,San Francisco,1,2012/4/1,4,2012-Q2,0,0,0,0,0,0,0,0
